통계명 : 장래인구 출  처 : 통계청 2000~2012, 단위 : 천명,,,,,,,,,,,,,
대륙,국가,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 
유럽,러시아,146758 ,146162 ,145520 ,144880 ,144307 ,143843 ,143510 ,143295 ,143163 ,143064 ,142958 ,142836 ,142703 
유럽,슬로바키아,5405 ,5407 ,5408 ,5409 ,5411 ,5415 ,5422 ,5431 ,5441 ,5452 ,5462 ,5472 ,5480 
유럽,슬로베니아,1985 ,1988 ,1991 ,1994 ,1998 ,2002 ,2007 ,2012 ,2018 ,2024 ,2030 ,2035 ,2040 
유럽,스페인,40288 ,40767 ,41365 ,42040 ,42732 ,43395 ,44018 ,44604 ,45146 ,45638 ,46077 ,46455 ,46772 
유럽,스웨덴,8860 ,8877 ,8902 ,8935 ,8978 ,9029 ,9091 ,9161 ,9237 ,9311 ,9380 ,9441 ,9495 
유럽,스위스,7168 ,7208 ,7255 ,7307 ,7361 ,7415 ,7468 ,7522 ,7573 ,7621 ,7664 ,7702 ,7734 
유럽,우크라이나,48892 ,48448 ,48032 ,47643 ,47275 ,46924 ,46592 ,46282 ,45992 ,45715 ,45448 ,45190 ,44940 
유럽,영국,58874 ,59097 ,59340 ,59604 ,59892 ,60203 ,60538 ,60896 ,61270 ,61652 ,62036 ,62417 ,62798 
유럽,몬테네그로,633 ,630 ,629 ,628 ,627 ,627 ,627 ,628 ,629 ,630 ,631 ,632 ,633 
유럽,세르비아,10134 ,10077 ,10013 ,9950 ,9895 ,9856 ,9836 ,9833 ,9841 ,9851 ,9856 ,9854 ,9847 
아프리카,알제리,30534 ,30982 ,31442 ,31913 ,32396 ,32888 ,33392 ,33907 ,34428 ,34950 ,35468 ,35980 ,36486 
아프리카,앙골라,13926 ,14388 ,14890 ,15420 ,15957 ,16489 ,17010 ,17525 ,18038 ,18555 ,19082 ,19618 ,20163 
아프리카,베냉,6518 ,6721 ,6938 ,7165 ,7398 ,7634 ,7872 ,8113 ,8356 ,8602 ,8850 ,9100 ,9352 
아프리카,보츠와나,1758 ,1784 ,1808 ,1830 ,1852 ,1876 ,1901 ,1928 ,1955 ,1982 ,2007 ,2031 ,2053 
아프리카,부르키나파소,12294 ,12648 ,13015 ,13396 ,13790 ,14198 ,14622 ,15061 ,15515 ,15984 ,16469 ,16968 ,17482 
아프리카,부룬디,6374 ,6500 ,6656 ,6839 ,7040 ,7251 ,7474 ,7708 ,7943 ,8171 ,8383 ,8575 ,8749 
아프리카,카메룬,15678 ,16040 ,16408 ,16783 ,17165 ,17554 ,17948 ,18350 ,18759 ,19175 ,19599 ,20030 ,20469 
아프리카,카보베르데,437 ,445 ,453 ,460 ,467 ,473 ,478 ,483 ,487 ,492 ,496 ,501 ,505 
아프리카,중앙아프리카공화국,3702 ,3767 ,3829 ,3890 ,3952 ,4018 ,4088 ,4161 ,4238 ,4318 ,4401 ,4487 ,4576 
아프리카,차드,8222 ,8518 ,8831 ,9154 ,9475 ,9786 ,10084 ,10372 ,10654 ,10937 ,11227 ,11525 ,11831 
아프리카,코모로,562 ,578 ,593 ,609 ,626 ,643 ,661 ,679 ,697 ,716 ,735 ,754 ,773 
아프리카,콩고,3136 ,3213 ,3289 ,3365 ,3446 ,3533 ,3629 ,3731 ,3836 ,3941 ,4043 ,4140 ,4233 
아프리카,콩고민주공화국,49626 ,50989 ,52491 ,54098 ,55755 ,57421 ,59088 ,60772 ,62475 ,64204 ,65966 ,67758 ,69575 
아프리카,코트디부아르,16582 ,16893 ,17181 ,17456 ,17732 ,18021 ,18326 ,18647 ,18987 ,19350 ,19738 ,20153 ,20595 
아프리카,지부티,732 ,750 ,765 ,780 ,794 ,808 ,824 ,839 ,856 ,872 ,889 ,906 ,923 
아프리카,이집트,67648 ,68888 ,70175 ,71498 ,72845 ,74203 ,75568 ,76942 ,78323 ,79716 ,81121 ,82537 ,83958 
아프리카,적도기니,520 ,537 ,554 ,572 ,590 ,608 ,626 ,644 ,662 ,681 ,700 ,720 ,740 
아프리카,에리트레아,3668 ,3812 ,3974 ,4146 ,4318 ,4486 ,4646 ,4799 ,4948 ,5098 ,5254 ,5415 ,5581 
아프리카,에티오피아,65578 ,67304 ,69041 ,70784 ,72527 ,74264 ,75993 ,77718 ,79446 ,81188 ,82950 ,84734 ,86539 
아프리카,가봉,1235 ,1263 ,1291 ,1317 ,1344 ,1371 ,1397 ,1424 ,1450 ,1478 ,1505 ,1534 ,1564 
아프리카,감비아,1297 ,1336 ,1376 ,1418 ,1460 ,1504 ,1547 ,1591 ,1636 ,1682 ,1728 ,1776 ,1825 
아프리카,가나,19165 ,19632 ,20114 ,20611 ,21120 ,21640 ,22171 ,22712 ,23264 ,23824 ,24392 ,24966 ,25546 
아프리카,기니,8344 ,8472 ,8605 ,8744 ,8889 ,9041 ,9202 ,9374 ,9559 ,9761 ,9982 ,10222 ,10481 
아프리카,기니비사우,1241 ,1265 ,1290 ,1315 ,1341 ,1368 ,1395 ,1424 ,1454 ,1484 ,1515 ,1547 ,1580 
아프리카,케냐,31254 ,32076 ,32928 ,33805 ,34702 ,35615 ,36541 ,37485 ,38455 ,39462 ,40513 ,41610 ,42749 
아프리카,레소토,1964 ,1989 ,2010 ,2029 ,2047 ,2066 ,2086 ,2106 ,2127 ,2149 ,2171 ,2194 ,2217 
아프리카,라이베리아,2847 ,2939 ,2996 ,3037 ,3093 ,3183 ,3314 ,3477 ,3658 ,3836 ,3994 ,4129 ,4245 
아프리카,리비아,5231 ,5331 ,5434 ,5541 ,5653 ,5770 ,5894 ,6023 ,6150 ,6263 ,6355 ,6423 ,6469 
아프리카,마다가스카르,15364 ,15846 ,16339 ,16842 ,17358 ,17886 ,18427 ,18980 ,19546 ,20124 ,20714 ,21315 ,21929 
아프리카,말라위,11229 ,11529 ,11833 ,12145 ,12473 ,12823 ,13195 ,13589 ,14005 ,14442 ,14901 ,15381 ,15883 
아프리카,말리,11295 ,11640 ,12002 ,12380 ,12772 ,13177 ,13593 ,14021 ,14460 ,14910 ,15370 ,15840 ,16319 
아프리카,모리타니,2643 ,2720 ,2800 ,2882 ,2965 ,3047 ,3130 ,3213 ,3295 ,3378 ,3460 ,3542 ,3623 
아프리카,모리셔스,1196 ,1208 ,1221 ,1234 ,1246 ,1257 ,1267 ,1276 ,1284 ,1292 ,1299 ,1307 ,1314 
아프리카,모로코,28793 ,29129 ,29454 ,29770 ,30082 ,30392 ,30702 ,31011 ,31321 ,31635 ,31951 ,32273 ,32599 
아프리카,모잠비크,18201 ,18691 ,19200 ,19721 ,20246 ,20770 ,21291 ,21811 ,22333 ,22859 ,23391 ,23930 ,24475 
아프리카,나미비아,1896 ,1936 ,1973 ,2008 ,2043 ,2080 ,2119 ,2159 ,2200 ,2242 ,2283 ,2324 ,2364 
아프리카,니제르,10922 ,11308 ,11706 ,12118 ,12547 ,12994 ,13460 ,13946 ,14450 ,14972 ,15512 ,16069 ,16644 
아프리카,나이지리아,123689 ,126705 ,129832 ,133067 ,136399 ,139823 ,143339 ,146951 ,150666 ,154488 ,158423 ,162471 ,166629 
아프리카,레위니옹,739 ,751 ,762 ,773 ,784 ,795 ,805 ,816 ,826 ,836 ,846 ,856 ,865 
아프리카,르완다,8098 ,8457 ,8696 ,8858 ,9010 ,9202 ,9441 ,9711 ,10004 ,10311 ,10624 ,10943 ,11272 
아프리카,상투메프린시페,141 ,143 ,146 ,148 ,150 ,153 ,155 ,157 ,160 ,163 ,165 ,169 ,172 
아프리카,세네갈,9506 ,9759 ,10023 ,10298 ,10581 ,10872 ,11170 ,11475 ,11787 ,12107 ,12434 ,12768 ,13108 
아프리카,시에라리온,4143 ,4304 ,4506 ,4730 ,4952 ,5153 ,5327 ,5478 ,5612 ,5739 ,5868 ,5997 ,6126 
아프리카,소말리아,7399 ,7597 ,7791 ,7982 ,8171 ,8360 ,8547 ,8733 ,8922 ,9120 ,9331 ,9557 ,9797 
아프리카,남아프리카공화국,44760 ,45390 ,46015 ,46631 ,47227 ,47793 ,48331 ,48842 ,49319 ,49752 ,50133 ,50460 ,50738 
아프리카,수단,34188 ,35002 ,35816 ,36643 ,37504 ,38410 ,39369 ,40374 ,41415 ,42478 ,43552 ,44632 ,45722 
아프리카,스와질란드,1064 ,1075 ,1083 ,1089 ,1095 ,1105 ,1118 ,1133 ,1150 ,1168 ,1186 ,1203 ,1220 
